post_title,post_name,ID,post_excerpt,post_content,post_status,menu_order,post_date,post_author,comment_status,sku,downloadable,virtual,stock,wholesale_price,markup_percentage,regular_price,discount_percentage,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,tax:product_type,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:yith_product_brand
Devondale Natra Start Toddler Milk Drink Stage 3,devondale-natra-start-toddler-milk-drink-stage-3,109,,,publish,0,8/13/2016 21:54:12,1,open,CWH79204,no,no,,17.99,20.00%,21.59,10.00%,19.43,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH79204.jpg,,simple,Baby Products > Baby Formula,,,Devondale
Devondale Natra Start Infant Formula Stage 1,devondale-natra-start-infant-formula-stage-1,110,,,publish,0,8/13/2016 22:37:01,1,open,CWH79203,no,no,,21.99,20.00%,26.39,10.00%,23.75,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH79203.jpg,,simple,Baby Products > Baby Formula,,,Devondale
Devondale Natra Start Follow On Formula Stage 2,devondale-natra-start-follow-on-formula-stage-2,111,,,publish,0,8/13/2016 22:42:03,1,open,CWH79202,no,no,,21.99,20.00%,26.39,10.00%,23.75,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH79202.jpg,,simple,Baby Products > Baby Formula,,,Devondale
Karicare Aptamil Gold+ HA Infant Formula 0-12 Months,karicare-aptamil-gold-ha-infant-formula-0-12-months,112,,,publish,0,8/14/2016 22:42:03,1,open,CWH63149,no,no,,24.69,20.00%,29.63,10.00%,26.67,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH63149.jpg,,simple,Baby Products > Baby Formula,,,Aptamil
Bellamy's Organic Apple and Pear Fruit Snacks,bellamys-organic-apple-and-pear-fruit-snacks,114,,,publish,0,8/15/2016 22:42:03,1,open,CWH68535,no,no,,3.39,20.00%,4.07,10.00%,3.66,0.05,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68535.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
Bellamy's Organic Banana & Apple Porridge,bellamys-organic-banana-apple-porridge,115,,,publish,0,8/16/2016 22:42:03,1,open,CWH68542,no,no,,1.69,20.00%,2.03,10.00%,1.83,0.1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH68542.jpg,,simple,Baby Products > Baby Food,,,Bellamy's Organic
S26 LF Formula,s26-lf-formula,116,,,publish,0,8/13/2016 21:54:12,1,open,CWH55528,no,no,,19.99,20.00%,23.99,10.00%,21.59,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH55528.jpg,,simple,Baby Products > Baby Formula,,,S26
S26 Newborn Formula ,s26-newborn-formula,117,,,publish,0,8/13/2016 21:54:12,1,open,CWH56508,no,no,,19.99,20.00%,23.99,10.00%,21.59,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH56508.jpg,,simple,Baby Products > Baby Formula,,,S26
S26 Progress Formula ,s26-progress-formula,118,,,publish,0,8/13/2016 21:54:12,1,open,CWH56509,no,no,,19.99,20.00%,23.99,10.00%,21.59,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH56509.jpg,,simple,Baby Products > Baby Formula,,,S26
Aptamil Gold+ 1 Infant Formula 0-6 Months,aptamil-gold-1-infant-formula-0-6-months,119,,,publish,0,8/13/2016 21:54:12,1,open,CWH63092,no,no,,24.69,20.00%,29.63,10.00%,26.67,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH63092.jpg,,simple,Baby Products > Baby Formula,,,Aptamil
Aptamil Gold+ 2 Follow-On Formula 6-12 Months ,aptamil-gold-2-follow-on-formula-6-12-months,120,,,publish,0,8/13/2016 21:54:12,1,open,CWH63093,no,no,,24.69,20.00%,29.63,10.00%,26.67,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH63093.jpg,,simple,Baby Products > Baby Formula,,,Aptamil
Aptamil Gold+ 3 Toddler Nutritional Supplement 1 Year,aptamil-gold-3-toddler-nutritional-supplement-1-year,121,,,publish,0,8/13/2016 21:54:12,1,open,CWH63148,no,no,,18.69,20.00%,22.43,10.00%,20.19,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH63148.jpg,,simple,Baby Products > Baby Formula,,,Aptamil
Aptamil Gold+ 4 Junior Nutritional Supplement 2 Years,aptamil-gold-4-junior-nutritional-supplement-2-years,122,,,publish,0,8/13/2016 21:54:12,1,open,CWH63150,no,no,,18.69,20.00%,22.43,10.00%,20.19,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH63150.jpg,,simple,Baby Products > Baby Formula,,,Aptamil
S26 Gold Soy,s26-gold-soy,123,,,publish,0,8/13/2016 21:54:12,1,open,CWH65411,no,no,,24.69,20.00%,29.63,10.00%,26.67,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH65411.jpg,,simple,Baby Products > Baby Formula,,,S26
Karicare Aptamil Feed Thickener,karicare-aptamil-feed-thickener,124,,,publish,0,8/13/2016 21:54:12,1,open,CWH65557,no,no,,16.69,20.00%,20.03,10.00%,18.03,0.5,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH65557.jpg,,simple,Baby Products > Baby Food,,,Karicare
S26 Gold AR Anti Reflux Formula,s26-gold-ar-anti-reflux-formula,125,,,publish,0,8/13/2016 21:54:12,1,open,CWH65830,no,no,,24.69,20.00%,29.63,10.00%,26.67,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH65830.jpg,,simple,Baby Products > Baby Formula,,,S26
S26 Gold LF Lactose Free Formula,s26-gold-lf-lactose-free-formula,126,,,publish,0,8/13/2016 21:54:12,1,open,CWH65831,no,no,,24.69,20.00%,29.63,10.00%,26.67,1,,,,,visible,instock,no,no,taxable,,,no,,,,,,,https://868daigou.com/wp-content/uploads/2016/08/CWH65831.jpg,,simple,Baby Products > Baby Formula,,,S26
